direction,K,t_star_source,t_star_target,abs_t_shift,abs_t_shift_std,w1_logit,w1_logit_std,mean_p_source_test,mean_p_target_test
S_to_M,33,0.5359999999999998,0.8999999999999995,0.3639999999999998,0.03939008691750272,1.2828631432588213,0.1636021108637548,0.4972564680020808,0.6874945315481594
S_to_M,4,0.5209999999999999,0.4704999999999998,0.057499999999999975,0.03985169876851978,0.6132343598313647,0.07845824538350618,0.49873248831774253,0.4592120602892346
M_to_S,33,0.5214999999999997,0.39549999999999985,0.1299999999999999,0.06950956011491093,1.6298156895604439,0.10592512325598967,0.49935675756562936,0.41021676689986686
M_to_S,4,0.5524999999999999,0.5854999999999999,0.05299999999999998,0.03096687534158155,0.9229457462917752,0.08227137308553402,0.5004650256145272,0.47853144605823655
