direction,component,mean,ci_lo,ci_hi,p_value,cohens_d,boot_ci_lo,boot_ci_hi
S_to_M,delta_total,0.1921391108891109,0.1836786023305839,0.2005996194476379,3.2301883194419893e-21,10.62866035897873,0.19069672514985017,0.19364385614385612
S_to_M,delta_ranking,0.10598464035964036,0.09686678909147,0.11510249162781072,8.800047712221596e-16,5.440134642325462,0.10459852647352648,0.10745207917082918
S_to_M,delta_threshold,0.08615447052947052,0.07844460770714622,0.09386433335179482,1.8186027178082236e-15,5.229863917749437,0.0845779220779221,0.0877405407092907
M_to_S,delta_total,0.016446053946053946,0.014433463823747045,0.018458644068360848,5.36012755598837e-13,3.824420129166533,0.015528221778221774,0.017320257867132878
M_to_S,delta_ranking,0.0136863136863137,0.01236918331527391,0.015003444057353491,6.903063170224069e-15,4.8631419613535565,0.012933863011987994,0.014469905094905089
M_to_S,delta_threshold,0.0027597402597402455,0.0012374175912421975,0.004282062928238293,0.0012255149254680753,0.8484391819572473,0.0020885364635364724,0.0034808941058940847
