seed,run_id,mobility,avg_neighbor_count,std_neighbor_count,min_neighbor_count,max_neighbor_count,avg_two_hop_count,std_two_hop_count,avg_routing_table_size,std_routing_table_size,fully_converged_nodes,node1_is_neighbor_of_node0,avg_min_euclidean_dist
5908,10005908,0,7.000000,3.446738,0.000000,16.000000,53.880000,35.162275,45.120000,9.210081,0,0,72.166659
5910,10005910,0,7.080000,2.536454,1.000000,11.000000,49.480000,23.453136,41.640000,11.394314,0,0,57.240800
5907,10005907,0,7.440000,2.906269,0.000000,12.000000,56.360000,27.789754,47.040000,6.720000,0,0,67.874555
5909,10005909,0,6.240000,2.437704,2.000000,11.000000,38.640000,22.224995,49.000000,0.000000,50,0,59.017336
5912,10005912,0,5.080000,1.775838,1.000000,9.000000,23.880000,10.795629,49.000000,0.000000,50,0,64.556165
5914,10005914,0,5.880000,1.829098,1.000000,9.000000,32.040000,12.172034,45.160000,9.014122,0,0,64.030022
5911,10005911,0,5.920000,2.770126,0.000000,12.000000,36.800000,24.734591,45.120000,9.210081,0,0,67.359614
5913,10005913,0,7.040000,3.346401,0.000000,14.000000,53.720000,35.913251,43.280000,10.766689,0,1,73.004399
5917,10005917,0,6.280000,3.298727,1.000000,12.000000,44.040000,30.011971,24.480000,10.711190,0,0,61.534716
5915,10005915,0,5.120000,2.285957,0.000000,10.000000,26.320000,16.973438,47.040000,6.720000,0,0,70.080675
5918,10005918,0,6.120000,2.187601,2.000000,11.000000,36.120000,19.898382,30.760000,11.104161,0,0,64.164548
5916,10005916,0,6.440000,3.194746,0.000000,13.000000,45.240000,36.680545,47.040000,6.720000,0,0,65.852939
5919,10005919,0,6.520000,2.844222,1.000000,12.000000,44.080000,27.747317,41.640000,11.394314,0,0,60.684098
5922,10005922,0,6.200000,2.584570,1.000000,13.000000,38.920000,24.881190,49.000000,0.000000,50,0,65.713772
5920,10005920,0,6.440000,3.007723,1.000000,14.000000,44.080000,29.963204,49.000000,0.000000,50,0,67.857117
5921,10005921,0,7.520000,3.769562,0.000000,14.000000,63.240000,41.556978,47.040000,6.720000,0,0,62.446929
5923,10005923,0,5.720000,2.653601,1.000000,11.000000,34.040000,23.545666,49.000000,0.000000,50,0,61.747962
5928,10005928,0,6.080000,2.544327,1.000000,12.000000,37.360000,20.718842,25.960000,6.720000,0,0,58.734085
5926,10005926,0,6.000000,2.497999,1.000000,11.000000,36.240000,21.795926,29.760000,10.527222,0,0,61.389344
5924,10005924,0,6.560000,3.269006,0.000000,13.000000,47.160000,35.435214,47.040000,6.720000,0,0,63.692752
5925,10005925,0,6.240000,2.649981,2.000000,11.000000,39.720000,26.903561,49.000000,0.000000,50,0,67.208215
5927,10005927,0,5.640000,2.455687,2.000000,11.000000,32.200000,21.596296,49.000000,0.000000,50,0,59.241063
5929,10005929,0,6.520000,2.736713,2.000000,11.000000,43.480000,28.340247,38.440000,12.348538,0,0,60.558302
5931,10005931,0,5.240000,2.462194,0.000000,10.000000,28.280000,18.956835,28.920000,14.397000,0,0,73.033610
5930,10005930,0,7.880000,3.391991,2.000000,15.000000,65.720000,38.457790,49.000000,0.000000,50,0,56.518683
5932,10005932,0,6.160000,1.922082,2.000000,11.000000,35.480000,15.164749,49.000000,0.000000,50,0,64.434668
5933,10005933,0,6.240000,2.789695,1.000000,13.000000,40.480000,28.208680,49.000000,0.000000,50,1,63.341394
5934,10005934,0,5.360000,2.104852,0.000000,9.000000,27.800000,14.333178,41.520000,11.803796,0,0,67.037115
5935,10005935,0,6.720000,2.713227,1.000000,12.000000,45.800000,25.571077,49.000000,0.000000,50,0,63.995584
5936,10005936,0,6.280000,2.514279,0.000000,12.000000,39.480000,21.335642,47.040000,6.720000,0,0,67.749834
5937,10005937,0,7.040000,3.039474,3.000000,13.000000,51.760000,36.548357,49.000000,0.000000,50,0,68.450557
5938,10005938,0,6.200000,3.019934,1.000000,12.000000,41.360000,30.515412,49.000000,0.000000,50,0,63.969154
5940,10005940,0,6.000000,2.932576,1.000000,14.000000,38.600000,27.238943,38.440000,12.348538,0,0,69.891248
5939,10005939,0,6.800000,3.039737,0.000000,13.000000,48.680000,30.681226,47.040000,6.720000,0,0,68.883186
5941,10005941,0,5.520000,2.299913,1.000000,10.000000,30.240000,17.216922,49.000000,0.000000,50,0,68.357891
5942,10005942,0,5.920000,2.583331,1.000000,12.000000,35.800000,22.537081,36.960000,12.491533,0,0,56.923627
5943,10005943,0,5.960000,2.884164,0.000000,12.000000,37.880000,25.119427,41.520000,11.803796,0,0,71.020183
5946,10005946,0,5.760000,2.874439,0.000000,12.000000,35.680000,23.337044,33.280000,14.348575,0,0,56.570767
5944,10005944,0,5.760000,2.478387,1.000000,11.000000,33.560000,21.692542,49.000000,0.000000,50,0,64.797026
5945,10005945,0,5.520000,1.615426,3.000000,9.000000,27.560000,12.231370,49.000000,0.000000,50,0,62.099097
