seed,run_id,mobility,avg_neighbor_count,std_neighbor_count,min_neighbor_count,max_neighbor_count,avg_two_hop_count,std_two_hop_count,avg_routing_table_size,std_routing_table_size,fully_converged_nodes,node1_is_neighbor_of_node0,avg_min_euclidean_dist
35714,10035714,1,6.960000,2.897999,1.000000,13.000000,39.140000,24.647929,45.140000,9.215227,0,0,69.370810
35720,10035720,1,6.240000,2.604304,1.000000,11.000000,33.740000,19.315082,45.140000,9.011126,0,0,60.578194
35719,10035719,1,6.160000,2.564059,1.000000,11.000000,33.060000,23.171888,49.000000,0.000000,50,1,57.846552
35717,10035717,1,7.140000,3.013370,2.000000,15.000000,47.240000,28.575206,49.000000,0.000000,50,0,57.858015
35721,10035721,1,6.340000,2.811476,2.000000,12.000000,37.200000,27.766166,48.020000,4.514377,47,0,63.069586
35718,10035718,1,7.200000,3.429286,1.000000,14.000000,45.600000,29.687708,44.180000,13.453163,42,0,69.560862
35722,10035722,1,7.360000,3.198500,0.000000,15.000000,51.420000,29.123248,43.280000,10.766689,0,0,61.716573
35725,10035725,1,6.960000,2.828144,2.000000,13.000000,38.780000,24.714603,46.240000,8.735124,3,1,60.016007
35723,10035723,1,7.860000,3.340718,0.000000,15.000000,55.680000,31.725977,40.920000,11.764081,0,0,60.918243
35724,10035724,1,7.100000,3.324154,0.000000,13.000000,43.980000,27.347753,39.640000,12.433439,0,0,65.771796
35726,10035726,1,6.600000,2.698148,0.000000,13.000000,37.120000,21.288156,47.040000,6.720000,0,0,69.559480
35731,10035731,1,6.240000,2.565619,2.000000,11.000000,34.120000,20.612268,21.340000,7.016010,0,0,62.303643
35727,10035727,1,6.480000,3.342095,0.000000,14.000000,38.440000,30.110570,47.040000,6.720000,0,0,68.316420
35728,10035728,1,6.480000,2.156293,2.000000,10.000000,33.060000,16.077823,49.000000,0.000000,50,0,66.858014
35730,10035730,1,6.540000,2.677387,0.000000,12.000000,37.540000,21.850593,36.720000,13.102733,0,1,60.758999
35729,10035729,1,6.260000,2.644315,0.000000,12.000000,31.580000,18.916754,39.640000,14.583223,0,0,73.150308
35732,10035732,1,5.780000,1.792094,1.000000,12.000000,26.180000,10.732549,49.000000,0.000000,50,0,63.577919
35738,10035738,1,5.960000,2.399667,0.000000,11.000000,28.920000,18.437831,24.880000,7.070050,0,0,68.340217
35733,10035733,1,6.360000,2.439344,1.000000,12.000000,33.980000,20.490476,49.000000,0.000000,50,0,67.986275
35739,10035739,1,7.380000,3.267354,2.000000,13.000000,53.660000,34.518754,43.320000,10.443065,0,0,52.312794
