seed,verdict,reason,seconds
545,accept,ok,37
525,accept,ok,42
636,reject,Assert_connectivity_failed,4
552,accept,ok,38
536,accept,ok,40
510,accept,ok,47
601,reject,Attacker_not_available
Terminated,22
644,reject,Assert_connectivity_failed,4
647,reject,Assert_connectivity_failed,4
559,accept,ok,41
549,accept,ok,44
659,reject,Assert_connectivity_failed,4
651,reject,Assert_connectivity_failed,5
561,accept,ok,40
585,reject,Attacker_not_available
Terminated,32
663,reject,Assert_connectivity_failed,4
562,accept,ok,41
670,reject,Assert_connectivity_failed,5
678,reject,Assert_connectivity_failed,4
572,accept,ok,45
666,reject,Attacker_not_available
Terminated,8
583,accept,ok,37
672,reject,Attacker_not_available
Terminated,7
694,reject,Assert_connectivity_failed,3
629,accept,ok,31
615,accept,ok,38
699,reject,Assert_connectivity_failed,4
706,reject,Assert_connectivity_failed,3
702,reject,Assert_connectivity_failed,4
626,accept,ok,37
714,reject,Assert_connectivity_failed,4
621,accept,ok,48
603,accept,ok,53
648,accept,ok,35
717,reject,Assert_connectivity_failed,3
632,accept,ok,44
722,reject,Assert_connectivity_failed,3
642,accept,ok,42
657,accept,ok,38
662,accept,ok,37
727,reject,Assert_connectivity_failed,4
728,reject,Assert_connectivity_failed,4
646,accept,ok,43
637,accept,ok,48
741,reject,Assert_connectivity_failed,3
669,accept,ok,42
671,accept,ok,41
673,accept,ok,40
653,accept,ok,49
680,accept,ok,39
755,reject,Assert_connectivity_failed,4
683,accept,ok,40
685,accept,ok,41
688,accept,ok,41
766,reject,Assert_connectivity_failed,4
760,reject,Attacker_not_available
Terminated,6
770,reject,Assert_connectivity_failed,4
774,reject,Assert_connectivity_failed,4
686,accept,ok,46
781,reject,Assert_connectivity_failed,4
715,accept,ok,33
782,reject,Assert_connectivity_failed,4
790,reject,Assert_connectivity_failed,3
710,accept,ok,41
802,reject,Assert_connectivity_failed,3
712,accept,ok,41
713,accept,ok,41
807,reject,Assert_connectivity_failed,4
725,accept,ok,31
810,reject,Assert_connectivity_failed,4
768,reject,Attacker_not_available
Terminated,17
815,reject,Assert_connectivity_failed,4
816,reject,Assert_connectivity_failed,4
821,reject,Assert_connectivity_failed,4
736,accept,ok,34
733,accept,ok,35
829,reject,Assert_connectivity_failed,5
740,accept,ok,36
838,reject,Assert_connectivity_failed,4
720,accept,ok,45
780,reject,Attacker_not_available
Terminated,23
841,reject,Assert_connectivity_failed,5
738,accept,ok,42
739,accept,ok,42
764,accept,ok,35
859,reject,Assert_connectivity_failed,3
754,accept,ok,38
860,reject,Assert_connectivity_failed,4
861,reject,Assert_connectivity_failed,4
753,accept,ok,43
867,reject,Assert_connectivity_failed,4
748,accept,ok,45
870,reject,Assert_connectivity_failed,4
873,reject,Assert_connectivity_failed,3
880,reject,Assert_connectivity_failed,4
889,reject,Assert_connectivity_failed,4
804,accept,ok,33
759,accept,ok,47
786,accept,ok,38
792,accept,ok,37
895,reject,Assert_connectivity_failed,4
904,reject,Assert_connectivity_failed,5
800,accept,ok,43
909,reject,Assert_connectivity_failed,3
844,reject,Attacker_not_available
Terminated,27
814,accept,ok,43
916,reject,Assert_connectivity_failed,4
828,accept,ok,38
822,accept,ok,40
813,accept,ok,47
825,accept,ok,40
845,accept,ok,34
834,accept,ok,39
850,accept,ok,35
937,reject,Assert_connectivity_failed,3
939,reject,Assert_connectivity_failed,4
856,accept,ok,42
941,reject,Attacker_not_available
Terminated,6
868,accept,ok,40
942,reject,Assert_connectivity_failed,5
871,accept,ok,39
876,accept,ok,38
947,reject,Assert_connectivity_failed,4
874,accept,ok,40
894,accept,ok,33
890,accept,ok,36
891,accept,ok,36
955,reject,Attacker_not_available
Terminated,7
957,reject,Attacker_not_available
Terminated,9
919,reject,Attacker_not_available
Terminated,28
906,accept,ok,37
970,reject,Attacker_not_available
Terminated,7
981,reject,Assert_connectivity_failed,4
898,accept,ok,44
869,accept,ok,55
988,reject,Assert_connectivity_failed,4
985,reject,Assert_connectivity_failed,4
994,reject,Assert_connectivity_failed,4
917,accept,ok,38
913,accept,ok,41
997,reject,Attacker_not_available
Terminated,6
927,accept,ok,40
940,accept,ok,33
928,accept,ok,42
1014,reject,Assert_connectivity_failed,5
1020,reject,Assert_connectivity_failed,4
929,accept,ok,45
1024,reject,Assert_connectivity_failed,4
933,accept,ok,45
936,accept,ok,44
1027,reject,Assert_connectivity_failed,4
934,accept,ok,48
1036,reject,Assert_connectivity_failed,4
1048,reject,Assert_connectivity_failed,4
964,accept,ok,36
950,accept,ok,39
967,accept,ok,37
963,accept,ok,38
1006,reject,Attacker_not_available
Terminated,26
1053,reject,Assert_connectivity_failed,3
1061,reject,Assert_connectivity_failed,4
971,accept,ok,40
995,accept,ok,35
1010,accept,ok,33
1076,reject,Assert_connectivity_failed,3
1005,accept,ok,39
1008,accept,ok,38
1072,reject,Attacker_not_available
Terminated,7
1011,accept,ok,38
1001,accept,ok,43
962,accept,ok,57
1078,reject,Assert_connectivity_failed,5
978,accept,ok,52
1089,reject,Assert_connectivity_failed,5
1094,reject,Assert_connectivity_failed,3
1091,reject,Assert_connectivity_failed,4
1097,reject,Assert_connectivity_failed,4
1103,reject,Assert_connectivity_failed,3
1101,reject,Assert_connectivity_failed,4
1026,accept,ok,39
1106,reject,Assert_connectivity_failed,3
1038,accept,ok,35
1015,accept,ok,44
1035,accept,ok,37
1068,reject,Attacker_not_available
Terminated,24
1039,accept,ok,37
1123,reject,Assert_connectivity_failed,4
1108,reject,Attacker_not_available
Terminated,8
1132,reject,Assert_connectivity_failed,4
1046,accept,ok,39
1146,reject,Assert_connectivity_failed,4
1055,accept,ok,36
1029,accept,ok,46
1051,accept,ok,36
1066,accept,ok,36
1154,reject,Assert_connectivity_failed,5
1155,reject,Assert_connectivity_failed,4
1152,reject,Attacker_not_available
Terminated,7
1100,reject,Attacker_not_available
Terminated,23
1160,reject,Assert_connectivity_failed,5
1057,accept,ok,43
1159,reject,Attacker_not_available
Terminated,9
1173,reject,Assert_connectivity_failed,4
1185,reject,Assert_connectivity_failed,4
1069,accept,ok,41
1191,reject,Assert_connectivity_failed,4
1083,accept,ok,35
1063,accept,ok,50
