mode,model,accuracy,auc,model_mb,ms_per_window_batch1,ms_per_window_batch8000,scorer,n_features,threads
static,Stacking_Ensemble,0.89975,0.9403051875,712.9037599563599,188.1996460724622,0.08557658687641378,predict_proba,28,24
static,LogisticRegression,0.8995,0.92910225,0.0039615631103515625,0.850298092700541,0.000147298866068013,predict_proba,28,24
static,LGBM_deep,0.899,0.9408279375,9.80023193359375,0.9909159271046519,0.011037786374799907,predict_proba,28,24
static,XGB_conservative,0.898875,0.94137815625,2.1251220703125,1.5814079670235515,0.0013105916295899078,predict_proba,28,24
static,XGB_balanced,0.8985,0.93704615625,3.1000213623046875,1.6154989134520292,0.0024862332502380013,predict_proba,28,24
static,LGBM_balanced,0.898125,0.93963828125,6.0771484375,1.0510700521990657,0.010546639241511002,predict_proba,28,24
static,CatBoost_balanced,0.897125,0.94057171875,2.0623655319213867,0.9921680903062224,0.0003852474910672754,predict_proba,28,24
static,CatBoost_deep,0.895625,0.938213875,6.356616020202637,0.9751870529726148,0.0004359416343504563,predict_proba,28,24
static,AdaBoost,0.8955,0.93815934375,0.8962497711181641,11.968669947236776,0.010679273866117,predict_proba,28,24
static,GradientBoosting,0.894375,0.93593903125,3.845529556274414,1.0222180280834436,0.010379688872490078,predict_proba,28,24
static,SVM_linear,0.894375,0.9268980625,0.010202407836914062,2.802145085297525,0.000457060246844776,predict_proba,28,24
static,Bagging_RF,0.894,0.9312563125,11.478265762329102,32.757865032181144,0.01805096337920986,predict_proba,28,24
static,SVM_rbf,0.88425,0.9218535,2.158334732055664,1.197937992401421,0.2996054480026942,predict_proba,28,24
static,RandomForest,0.87675,0.92100834375,106.8859806060791,76.5150630613789,0.015890079012024216,predict_proba,28,24
static,Ridge,0.875125,0.91878746875,0.0042057037353515625,0.8413259638473392,0.0001513004972366616,predict_proba,28,24
static,ExtraTrees,0.847875,0.903344375,204.6597843170166,68.46259802114218,0.01589590976072941,predict_proba,28,24
static,Bagging_ET,0.821375,0.88407021875,28.51755714416504,75.53377305157483,0.025353739110869355,predict_proba,28,24
