mode,model,accuracy,auc,model_mb,ms_per_window_batch1,ms_per_window_batch8000,scorer,n_features,threads
static,Stacking_Ensemble,0.89975,0.9403051875,712.9037599563599,120.88345596566796,0.2752684481238248,predict_proba,28,1
static,LogisticRegression,0.8995,0.92910225,0.0039615631103515625,0.8433840703219175,0.0001445634989067912,predict_proba,28,1
static,LGBM_deep,0.899,0.9408279375,9.80023193359375,0.9698920184746385,0.06333460549649317,predict_proba,28,1
static,XGB_conservative,0.898875,0.94137815625,2.1251220703125,1.728901988826692,0.00790143563062884,predict_proba,28,1
static,XGB_balanced,0.8985,0.93704615625,3.1000213623046875,1.8375510117039084,0.011819913124782033,predict_proba,28,1
static,LGBM_balanced,0.898125,0.93963828125,6.0771484375,1.094152918085456,0.06124410124903079,predict_proba,28,1
static,CatBoost_balanced,0.897125,0.94057171875,2.0623655319213867,0.9424590971320868,0.0010071426222566515,predict_proba,28,1
static,CatBoost_deep,0.895625,0.938213875,6.356616020202637,0.9132639970630407,0.0017898468649946153,predict_proba,28,1
static,AdaBoost,0.8955,0.93815934375,0.8962497711181641,12.063288013450801,0.01017977375886403,predict_proba,28,1
static,GradientBoosting,0.894375,0.93593903125,3.845529556274414,1.0128750000149012,0.010182255995459855,predict_proba,28,1
static,SVM_linear,0.894375,0.9268980625,0.010202407836914062,2.68648995552212,0.000449125625891611,predict_proba,28,1
static,Bagging_RF,0.894,0.9312563125,11.478265762329102,45.21280596964061,0.014984495253884234,predict_proba,28,1
static,SVM_rbf,0.88425,0.9218535,2.158334732055664,1.2245000107213855,0.28416059038136154,predict_proba,28,1
static,RandomForest,0.87675,0.92100834375,106.8859806060791,23.585465969517827,0.03343205249984749,predict_proba,28,1
static,Ridge,0.875125,0.91878746875,0.0042057037353515625,0.8300390327349305,0.00013947738625574857,predict_proba,28,1
static,ExtraTrees,0.847875,0.903344375,204.6597843170166,23.82363996002823,0.03768263461824972,predict_proba,28,1
static,Bagging_ET,0.821375,0.88407021875,28.51755714416504,107.84682503435761,0.03917408887355123,predict_proba,28,1
