direction,U4_mean,U4_std,U3_mean,U3_std,delta_U4_minus_U3,paired_t,p_value,paired_cohens_d
S->M,0.8623039460539461,0.004284358164534234,0.8610701798201799,0.007588261242762694,0.0012337662337662259,0.6608021820559971,0.5166721035783424,0.1477598598757401
M->S,0.8583516483516485,0.0010597594993755745,0.8318531468531468,0.0028622555430823132,0.026498501498501508,37.78180044276044,2.424841223991994e-19,8.448267410234399
in-static,0.8658716283716282,0.0037050051816622724,0.8442307692307691,0.003549705843648942,0.021640859140859132,42.840843961022415,2.2868565703041844e-20,9.579503931030747
in-mobile,0.8958916083916083,0.004096988995228951,0.886988011988012,0.003924338636267528,0.00890359640359641,16.65265016921952,8.637615033181109e-13,3.7236457783898222
