iteration,perm_diff_mahalanobis,perm_diff_lda_ratio
0,0.02482583379511949,0.026791056190197615
1,-0.01859535952396074,-0.01937785519656976
2,-0.022425059389484137,-0.023797422319927763
3,-0.006483007402648955,-0.007066444742670486
4,0.014787619131981344,0.015555695310723205
5,0.00046270499998524173,9.077406778068564e-05
6,0.021238713731006165,0.02326739780244469
7,-0.013432396942315794,-0.01457293150536132
8,0.026711460147252453,0.028926463830970972
9,-0.030463261334650493,-0.03174829593733097
10,-0.014028719960510028,-0.014724981863202036
11,-0.01764927490851509,-0.01871422157356517
12,-0.006724485364081545,-0.007671679174037438
13,0.004201296456469272,0.004709296119743467
14,0.0046605886716530875,0.006035930221565788
15,0.017802663210107372,0.01896637238502019
16,-0.0017351921812434057,-0.0013697603368016953
17,-0.006916219747194585,-0.007881538331471205
18,-0.006287649865593714,-0.0064651288265711315
19,-0.011859390677549708,-0.012720202553164306
20,0.004714543319797482,0.004574421237871551
21,0.005717079278719339,0.006373979885268222
22,-0.007542877029630635,-0.008526628108391776
23,-0.02613305255211884,-0.0281898791867925
24,-0.00523329922291671,-0.0054082195971572045
25,-0.03604619961049549,-0.03747208573687777
26,0.0350992473006162,0.0371157840290115
27,-0.015406350141944802,-0.016558338616265766
28,0.0179079743048427,0.01910073789913147
29,0.020740487999864943,0.022014414163197937
30,-0.011793273278133842,-0.011806812315661164
31,-0.015280818401415264,-0.01649636307938085
32,0.016931562283115653,0.018288492895928155
33,-0.0018998873439093344,-0.001566200570362053
34,0.037062730135738686,0.03901678043686818
35,0.0071069897641447,0.00744067666466286
36,-0.028167242079626842,-0.029968399712137606
37,0.00017882320746798186,-0.0004084323888371433
38,0.025690556036348955,0.027224661857453425
39,-0.016356015504593646,-0.0173260322202331
40,-0.009287497115823662,-0.010184216467623353
41,0.02229484004625082,0.024130638075691824
42,0.042977577189711624,0.045182553318819485
43,-0.0015261833035045136,-0.0015725818568239625
44,-0.020397925977861497,-0.022283792435010552
45,-0.018753745689476187,-0.019931398855412175
46,-0.015574692294265002,-0.01638880773514262
47,-0.007593441264237111,-0.0073226476694927545
48,0.04198215735670896,0.04452004649125785
49,0.009346454640869695,0.010218649995833662
50,-0.05863929513716171,-0.062043868408432346
51,-0.021816159949449077,-0.022838445094776727
52,0.01649617652936497,0.01780936334569061
53,-0.0038117197079068355,-0.0048037516910215405
54,-0.0028811190156896593,-0.0027795570903383915
55,0.019687857330682235,0.021017525015823546
56,-0.0066405387365433555,-0.00729388046660806
57,0.03393974177485015,0.036805628249431344
58,0.02422120596785904,0.02622883346251892
59,0.010410981772769112,0.011353127489283299
60,0.02344633489486192,0.02522183982845072
61,-0.00037345762666207705,0.00010379553549477727
62,0.008901313599993355,0.010183288156856207
