measure,static_point,mobile_point,static_mean,static_std,mobile_mean,mobile_std,static_ci_lo,static_ci_hi,mobile_ci_lo,mobile_ci_hi,observed_diff,null_max,null_mean,null_std,n_permutations_exceeding_observed,n_permutations_total,welch_t,welch_p_onesided,effect_size_cohens_d,permutation_p_onesided
Mahalanobis distance,2.2415333051378927,2.4226050685023153,2.2481537675057734,0.014521657613885195,2.4243431825894617,0.01679188045486199,2.2165786508977945,2.275935954333529,2.3895561021585605,2.4563196948125836,0.18107176336442254,0.07212823660810441,-0.0002314016558743251,0.02059212142084454,0,10000,79.36413527143324,3.929549102232661e-150,11.22378364668738,9.999000099990002e-05
LDA separation ratio,1.2856719839733148,1.4742003374716564,1.2923977200534231,0.016636030406124814,1.4764080413877751,0.02036612650689698,1.2569922586714082,1.3242265876717358,1.434749907400903,1.5163353699827367,0.18852835349834152,0.0772578743555219,-0.0002409603913371143,0.021920346912840467,0,10000,69.97366046718942,4.2920732876014456e-138,9.895769964158935,9.999000099990002e-05
