k,features,s2m,m2s,cross_mean,in_static,in_mobile,coverage,has_dead,degenerate,is_selected
1,AverageAdvertisedLinksPerTCMessage,0.7902416666666667,0.7496916666666666,0.7699666666666667,0.7614166666666667,0.8085,exhaustive,False,False,False
1,AverageHopCount,0.5259083333333333,0.5211583333333334,0.5235333333333334,0.5325416666666666,0.5294166666666666,exhaustive,False,False,False
1,AverageMprCount,0.7334999999999999,0.8142416666666668,0.7738708333333333,0.8572083333333333,0.8662083333333334,exhaustive,False,False,False
1,AvgFlowDuration,0.5016249999999999,0.5077999999999999,0.5047124999999999,0.5383749999999999,0.5054583333333333,exhaustive,False,False,False
1,AvgFlowThroughput,0.7131333333333334,0.6697083333333333,0.6914208333333334,0.6771666666666666,0.7189583333333333,exhaustive,False,False,False
1,AvgTxBytesPerFlow,0.7131333333333334,0.6697083333333333,0.6914208333333334,0.6771666666666666,0.7189583333333333,exhaustive,False,False,False
1,AvgTxPacketSize,0.7717749999999999,0.7130583333333332,0.7424166666666665,0.7252083333333332,0.7776666666666667,exhaustive,False,False,False
1,AvgTxPacketsPerFlow,0.5841583333333333,0.5720083333333333,0.5780833333333333,0.5827916666666667,0.6069166666666667,exhaustive,False,False,False
1,DataPacketRate,0.54095,0.5339916666666666,0.5374708333333333,0.5379166666666667,0.5335416666666667,exhaustive,False,False,False
1,FlowDurationStd,0.5015916666666667,0.5111416666666666,0.5063666666666666,0.5407083333333332,0.5021666666666667,exhaustive,False,False,False
1,FlowThroughputStd,0.6293083333333334,0.65515,0.6422291666666666,0.6531250000000001,0.6324583333333333,exhaustive,False,False,False
1,HnaMessageRate,0.5,0.5,0.5,0.5,0.5,exhaustive,True,True,False
1,MidMessageRate,0.5,0.5,0.5,0.5,0.5,exhaustive,True,True,False
1,NormalizedRoutingLoad,0.5109916666666666,0.545,0.5279958333333333,0.5596666666666666,0.510875,exhaustive,False,False,False
1,RoutingOverheadBytesRatio,0.5132166666666667,0.5407166666666666,0.5269666666666666,0.5581666666666667,0.5165416666666666,exhaustive,False,False,False
1,TcMessageRate,0.6363250000000001,0.6174083333333333,0.6268666666666667,0.6965,0.7727916666666667,exhaustive,False,False,False
1,Throughput,0.621525,0.5964999999999999,0.6090125,0.601,0.6222083333333334,exhaustive,False,False,False
2,AverageAdvertisedLinksPerTCMessage;AverageHopCount,0.7998249999999999,0.7571666666666667,0.7784958333333333,0.77225,0.8265416666666666,exhaustive,False,False,False
2,AverageAdvertisedLinksPerTCMessage;AverageMprCount,0.8593583333333333,0.7926333333333333,0.8259958333333333,0.8590416666666667,0.9081250000000001,exhaustive,False,False,False
2,AverageAdvertisedLinksPerTCMessage;AvgFlowDuration,0.7633916666666667,0.7402083333333334,0.7518,0.7642916666666667,0.8067083333333334,exhaustive,False,False,False
