feature,R,var_within,var_between,rf_importance_pct
AvgTxPacketsPerFlow,0.6157021689534279,0.2335148653917476,0.37926594572187566,1.8588843035738027
Overhead_Per_Hop,0.7093524046550184,0.2574868486776388,0.36298861748717676,2.4002178978121242
row_q75,0.9311125576567488,7323.955873922688,7865.811510859931,0.5713805723065181
TcMessageRate,1.025350663891219,0.3451430574361159,0.3366097761377246,2.6508702552580643
DataPacketRate,1.0925214154113356,0.3184459586766413,0.2914780014226573,2.3750684720196293
ratio_Throughput_AverageEndToEndDelay,1.1405917633878402,0.4205442439118287,0.3687070671644757,1.721621985052041
ratio_AverageEndToEndDelay_AverageJitter,1.1892430683518729,0.35912092856339145,0.30197437186654735,3.4453700535868816
AverageAdvertisedLinksPerTCMessage,1.5086444911508237,0.5095222390602393,0.3377351271604466,4.575357453434235
Jitter_Delay_Ratio,1.8618069058226456,0.605288505832597,0.32510810006007923,3.0351221400904893
QoS_Score,1.95461187610542,0.45190912534021943,0.2312014629925903,7.493271857304339
log1p_FlowThroughputStd,2.0784726310246495,0.43242155678276273,0.2080477511832851,14.607782238455991
interact_Throughput_AverageEndToEndDelay,2.1449864515968744,0.8058238310585181,0.37567781859715843,7.146743021287779
AverageHopCount,2.3425267966174506,0.45235355590086146,0.1931049653526722,1.8559451246638297
FlowThroughputStd,2.631693820835035,0.7785803542476399,0.2958476202972446,15.685208411061854
row_cv,2.733215469440822,0.5889909518840144,0.21549378688456658,2.3899335808390236
AverageJitter,3.0927935929793917,1.720998191912256,0.5564542670470511,5.884772408660625
AverageEndToEndDelay,3.3441094092310304,0.8881957508295235,0.26560008723829936,4.73112090331705
FlowLossRateStd,3.4649587651039195,0.06317087140804079,0.01823134867888716,0.19711370535549605
FlowDelayStd,3.6421530954311567,2.246256820161812,0.6167387150682799,3.812165030793943
sqrt_FlowDelayStd,4.705435532342549,0.7260769169036264,0.15430599609924983,3.616749579941335
row_skew,4.908028077294057,399.56874887441796,81.41125979350699,3.155216015931237
AvgFlowDuration,6.059573149385813,0.715728324984468,0.11811530405420607,1.831111698705633
RoutingOverheadBytesRatio,6.874084741601667,0.7897250287421517,0.11488438947455731,2.0332480128308754
FlowDurationStd,8.1420054215973,139.21004160412602,17.097758401738773,2.605103486097001
FlowCount,11.94351927236001,0.21728271728271478,0.018192520338089324,0.3206217916202017
