feature,R,var_within,var_between,rf_importance_pct
PacketDeliveryRatio,1.3740448805249532,0.5952011549920998,0.43317446426009715,0.8346565647089297
AvgFlowLossRate,1.5155156217248194,0.5217507650833451,0.3442727726475173,0.7319619629418281
row_q25,2.0607846261455536,0.166343152711241,0.08071835872548447,1.0345518319992368
row_q75,2.1946119676161753,114.0080499213682,51.94906963220632,0.8340034932980924
AvgTxPacketsPerFlow,2.242767787643065,0.40275364318568674,0.17957884244748298,1.787214418566253
DataPacketRate,2.2950072473799255,0.4291622167161676,0.18699819671760157,1.5873589992862485
AverageMprCount,2.3238617491515723,0.5911685442297684,0.25439058259092934,5.615559976593161
Performance_Degradation,2.3715601030869005,2.3088173448869727,0.9735436778006885,0.7450374652901727
AverageHopCount,2.38220599395204,0.4734981380878324,0.1987645649820252,1.1737873958825062
AverageAdvertisedLinksPerTCMessage,2.4124286546412,0.5911998687645597,0.24506418775318195,7.435119768286394
row_median,2.4806539852244347,0.4673948087466364,0.18841596269697752,1.334183031540225
FlowCount,2.76266984939874,0.05386280386280377,0.01949664882025757,0.024097054074987318
TcMessageRate,2.775461328665235,0.4289507191514818,0.15455114244196505,4.938181121409831
ratio_PacketDeliveryRatio_PacketLossRatio,2.848301190574776,6.6591729638660744e+16,2.3379455044648136e+16,0.8173854601165197
log1p_AvgFlowThroughput,2.960213439184977,0.4848839688402124,0.16380034034665866,14.14141042340471
QoS_Score,3.0078361719075946,0.688118073108363,0.22877511731928704,1.5806318410139804
ratio_AverageEndToEndDelay_AverageJitter,3.0997234034158763,0.8848814231010431,0.2854710914279673,1.2237344394312955
ratio_Throughput_AverageEndToEndDelay,3.2040638001936848,1.2617917624588177,0.39380981189554926,1.0584416075174947
log1p_FlowThroughputStd,3.2680126850282063,1.4968577422566853,0.45803302695579895,6.163985154637379
sqrt_AvgFlowDelay,3.4645331335807734,15.496076729102857,4.472774867961329,0.806684432395399
sqrt_AvgFlowJitter,3.5688424264446015,15.309712777793715,4.289825929087653,0.8128206359806928
RoutingOverheadBytesRatio,3.5706011313937416,0.5968120743559455,0.1671461057649462,1.505837312195873
AvgFlowThroughput,3.6080604457571988,2.150216488357525,0.5959480226786128,10.86962607157242
Jitter_Delay_Ratio,3.613219698234876,1.9197418576083045,0.5313105811258918,1.3313089991082052
interact_Throughput_AverageEndToEndDelay,3.642272422638182,2.680012397243682,0.7358077832351829,3.045738523625865
AvgFlowJitter,3.760265758131743,302.26178397888395,80.38309082947809,0.7956521399595419
AvgFlowDelay,3.765161426020168,157.21439140325313,41.75502020093394,0.8017056156210925
AverageEndToEndDelay,3.8124912044841963,15.618829397427996,4.09675158831935,0.986876956367303
AverageJitter,3.850844936007477,22.680802721356045,5.88982498601137,1.4657052714267125
AverageEndToEndDelay_cubed,3.9024195005798754,12281.981650097448,3147.273543572755,0.8303826220701888
AverageEndToEndDelay_squared,3.9123481054878453,257.7870722740275,65.89062765463687,0.9978020987740999
sqrt_FlowThroughputStd,3.9160741165446478,15.03717166922261,3.83985880289895,6.412643443561121
AverageJitter_squared,3.968777253883409,1473.7365654075206,371.33264759706026,1.846808155696893
AverageJitter_cubed,4.003365152606645,238742.34793156097,59635.41641364206,1.8672112965076557
FlowThroughputStd,4.017932971335696,704.0985929810299,175.23900921297843,8.20270202874231
row_cv,4.038909773013357,16.1007943288235,3.9864208991247043,3.1458536879512327
AvgFlowDuration,4.586628625224199,7.919336882271616,1.7266139313557187,1.2133386984441403
