config,n_kept,removed,seed,te_acc,te_auc,tgt_acc,tgt_auc,thr
Standard_33,33,(none),42,0.9014735264735265,0.9556942183690436,0.6748751248751249,0.8163535889684741,0.5399999999999998
Standard_33,33,(none),43,0.9008491508491508,0.9568268270191347,0.6645854145854145,0.8443331743181892,0.46999999999999986
Standard_33,33,(none),44,0.90497002997003,0.9608222696384534,0.6511738261738261,0.8338715430423722,0.48999999999999977
Standard_33,33,(none),45,0.9088411588411588,0.9591901604888617,0.6667082917082917,0.842066083267382,0.5199999999999998
Standard_33,33,(none),46,0.907967032967033,0.9592387507597298,0.6531718281718282,0.830380209201388,0.45999999999999985
Standard_33,33,(none),47,0.9065934065934066,0.9604973572880666,0.6531718281718282,0.8228875382858899,0.5199999999999998
Standard_33,33,(none),48,0.9032217782217782,0.9567005796401402,0.6586413586413586,0.8359254282181354,0.48999999999999977
Standard_33,33,(none),49,0.9032217782217782,0.9581712618051279,0.66993006993007,0.8313962960116805,0.5299999999999998
Standard_33,33,(none),50,0.903971028971029,0.9572060057824293,0.6868631368631368,0.8360130890587933,0.5699999999999997
Standard_33,33,(none),51,0.9050949050949051,0.9598786578057309,0.6634365634365634,0.8317093795315573,0.5199999999999998
Standard_33,33,(none),52,0.9068431568431569,0.9580723347581489,0.6411088911088911,0.8289122216444893,0.45999999999999985
Standard_33,33,(none),53,0.9047202797202797,0.9568340001656684,0.6576673326673327,0.8401438459143253,0.46999999999999986
Standard_33,33,(none),54,0.9044705294705294,0.9594163952930187,0.6755494505494506,0.8411043090276357,0.48999999999999977
Standard_33,33,(none),55,0.9093406593406593,0.9599859431278013,0.6768231768231768,0.848085082998919,0.48999999999999977
Standard_33,33,(none),56,0.906093906093906,0.9568840874410305,0.6755744255744256,0.8408037990980048,0.48999999999999977
Standard_33,33,(none),57,0.9058441558441559,0.9571548581288841,0.7071178821178821,0.8451894633837691,0.5299999999999998
Standard_33,33,(none),58,0.9077172827172827,0.9592983190635538,0.685014985014985,0.8421050677594134,0.4999999999999998
Standard_33,33,(none),59,0.9020979020979021,0.9571670836655852,0.6807692307692308,0.8400739844571014,0.6299999999999997
Standard_33,33,(none),60,0.8983516483516484,0.9551179963892252,0.675974025974026,0.8268609786816581,0.5999999999999998
Standard_33,33,(none),61,0.9020979020979021,0.956567720491297,0.6762737262737263,0.8359509508972547,0.5599999999999997
LOO_AvgE2EDelay,32,AverageEndToEndDelay,42,0.9022227772227772,0.9560760792653901,0.6807192807192807,0.8287214446392768,0.5499999999999998
LOO_AvgE2EDelay,32,AverageEndToEndDelay,43,0.9020979020979021,0.956725467339853,0.6923826173826174,0.8533225366042549,0.5199999999999998
LOO_AvgE2EDelay,32,AverageEndToEndDelay,44,0.9068431568431569,0.9604969206617557,0.6853646353646353,0.8506870876376371,0.48999999999999977
LOO_AvgE2EDelay,32,AverageEndToEndDelay,45,0.9058441558441559,0.9584308673344637,0.691008991008991,0.8483037005452091,0.47999999999999976
LOO_AvgE2EDelay,32,AverageEndToEndDelay,46,0.9058441558441559,0.9593321887902306,0.6887862137862137,0.8412076859204731,0.5499999999999998
LOO_AvgE2EDelay,32,AverageEndToEndDelay,47,0.907967032967033,0.9607413690205899,0.6624625374625375,0.8368755557629184,0.5299999999999998
LOO_AvgE2EDelay,32,AverageEndToEndDelay,48,0.9018481518481518,0.9564878802516166,0.6782467532467532,0.8370904744606043,0.5199999999999998
LOO_AvgE2EDelay,32,AverageEndToEndDelay,49,0.9052197802197802,0.958706066660612,0.7004245754245755,0.8358613090206497,0.5499999999999998
LOO_AvgE2EDelay,32,AverageEndToEndDelay,50,0.9052197802197802,0.956742932392283,0.7063686313686314,0.8427103004388219,0.5799999999999997
LOO_AvgE2EDelay,32,AverageEndToEndDelay,51,0.9038461538461539,0.9590839979201617,0.6612637362637362,0.8391176430961645,0.4999999999999998
LOO_AvgE2EDelay,32,AverageEndToEndDelay,52,0.9059690309690309,0.9584851337473717,0.6779220779220779,0.8356916285512689,0.5099999999999998
LOO_AvgE2EDelay,32,AverageEndToEndDelay,53,0.9024725274725275,0.9569916846390373,0.6515984015984015,0.8326244834086992,0.46999999999999986
LOO_AvgE2EDelay,32,AverageEndToEndDelay,54,0.9045954045954046,0.959166769793643,0.6891608391608391,0.8507795613477431,0.45999999999999985
LOO_AvgE2EDelay,32,AverageEndToEndDelay,55,0.9089660339660339,0.9593306917857367,0.7101398601398602,0.8544283862990156,0.4999999999999998
LOO_AvgE2EDelay,32,AverageEndToEndDelay,56,0.9065934065934066,0.956581131156556,0.6903096903096904,0.8470767394443719,0.5099999999999998
LOO_AvgE2EDelay,32,AverageEndToEndDelay,57,0.906093906093906,0.9572867192747312,0.7562687312687313,0.8559565047839274,0.5799999999999997
LOO_AvgE2EDelay,32,AverageEndToEndDelay,58,0.9075924075924076,0.9589599336727208,0.7072927072927073,0.8489603578239941,0.5199999999999998
LOO_AvgE2EDelay,32,AverageEndToEndDelay,59,0.9032217782217782,0.9564328653364618,0.6835414585414585,0.8427717911459169,0.5899999999999997
LOO_AvgE2EDelay,32,AverageEndToEndDelay,60,0.9005994005994006,0.9557927087897118,0.6651348651348651,0.834890285788138,0.46999999999999986
LOO_AvgE2EDelay,32,AverageEndToEndDelay,61,0.9038461538461539,0.9568038105750393,0.688011988011988,0.8328920455169206,0.5399999999999998
LOO_AvgJitter,32,AverageJitter,42,0.900974025974026,0.9555216886011091,0.6640859140859141,0.8202958904232631,0.4999999999999998
LOO_AvgJitter,32,AverageJitter,43,0.903971028971029,0.9567523510455578,0.6734015984015984,0.8428797239224313,0.5299999999999998
LOO_AvgJitter,32,AverageJitter,44,0.9042207792207793,0.9608276962797443,0.6745254745254745,0.842996142219419,0.5299999999999998
LOO_AvgJitter,32,AverageJitter,45,0.9075924075924076,0.9590649734880504,0.6814685314685315,0.8383636742877503,0.5299999999999998
LOO_AvgJitter,32,AverageJitter,46,0.9062187812187812,0.959117930022026,0.6774225774225774,0.8329094631642084,0.5299999999999998
LOO_AvgJitter,32,AverageJitter,47,0.9075924075924076,0.9603097951000048,0.6577672327672328,0.8319683475864794,0.5199999999999998
LOO_AvgJitter,32,AverageJitter,48,0.9017232767232767,0.9568275131461945,0.65497002997003,0.8304665589156098,0.45999999999999985
LOO_AvgJitter,32,AverageJitter,49,0.9033466533466533,0.9584440908741608,0.6703546453546454,0.8299857884373368,0.47999999999999976
LOO_AvgJitter,32,AverageJitter,50,0.902972027972028,0.9570558063315308,0.6678071928071928,0.8364026520432615,0.47999999999999976
LOO_AvgJitter,32,AverageJitter,51,0.9055944055944056,0.9596651475397728,0.6622627372627372,0.8364136912039011,0.47999999999999976
LOO_AvgJitter,32,AverageJitter,52,0.9059690309690309,0.9581389514581322,0.6625624375624376,0.8346996809384422,0.5299999999999998
LOO_AvgJitter,32,AverageJitter,53,0.9047202797202797,0.9574926197678446,0.6461788211788212,0.8290843572012403,0.44999999999999984
LOO_AvgJitter,32,AverageJitter,54,0.9062187812187812,0.9591566026381211,0.687012987012987,0.8451172067193546,0.4999999999999998
LOO_AvgJitter,32,AverageJitter,55,0.9095904095904096,0.9586488686139035,0.6961038961038961,0.8527733355555533,0.5299999999999998
LOO_AvgJitter,32,AverageJitter,56,0.9067182817182817,0.9567645142070718,0.6673076923076923,0.8340453302940816,0.5099999999999998
LOO_AvgJitter,32,AverageJitter,57,0.9067182817182817,0.9578947526000473,0.7044205794205795,0.8471092481444629,0.48999999999999977
LOO_AvgJitter,32,AverageJitter,58,0.9093406593406593,0.9593885135843178,0.6961038961038961,0.8542950880288542,0.5099999999999998
LOO_AvgJitter,32,AverageJitter,59,0.9037212787212787,0.9564654251842064,0.6756493506493506,0.8374664496342819,0.5999999999999998
LOO_AvgJitter,32,AverageJitter,60,0.9004745254745254,0.9556715761760716,0.6653596403596403,0.8354503538419622,0.4999999999999998
LOO_AvgJitter,32,AverageJitter,61,0.9033466533466533,0.9563296344015625,0.6718781218781219,0.8321482912691703,0.5599999999999997
LOO_AvgFlowDelay,32,AvgFlowDelay,42,0.900974025974026,0.955699333134398,0.6659590409590409,0.8153236448865819,0.5699999999999997
LOO_AvgFlowDelay,32,AvgFlowDelay,43,0.901973026973027,0.9571504294905895,0.6564435564435565,0.8398118302776145,0.48999999999999977
LOO_AvgFlowDelay,32,AvgFlowDelay,44,0.906093906093906,0.9606695751800647,0.6678071928071928,0.8385922444189178,0.48999999999999977
LOO_AvgFlowDelay,32,AvgFlowDelay,45,0.9064685314685315,0.9586930926216641,0.6623376623376623,0.8341574696532239,0.45999999999999985
LOO_AvgFlowDelay,32,AvgFlowDelay,46,0.9077172827172827,0.9589994795414377,0.6567682317682317,0.8195593716972338,0.5199999999999998
LOO_AvgFlowDelay,32,AvgFlowDelay,47,0.9037212787212787,0.9600420807963265,0.6592407592407592,0.8163364545045364,0.5999999999999998
LOO_AvgFlowDelay,32,AvgFlowDelay,48,0.8997252747252747,0.955892945715623,0.6614135864135864,0.8398372157313216,0.46999999999999986
LOO_AvgFlowDelay,32,AvgFlowDelay,49,0.90497002997003,0.9577886524065345,0.6625374625374625,0.8246346710232824,0.5199999999999998
LOO_AvgFlowDelay,32,AvgFlowDelay,50,0.9057192807192808,0.9572735581102214,0.6725774225774226,0.8334499778443335,0.5499999999999998
LOO_AvgFlowDelay,32,AvgFlowDelay,51,0.9064685314685315,0.9594382266085563,0.6518231768231768,0.8301398501598303,0.48999999999999977
LOO_AvgFlowDelay,32,AvgFlowDelay,52,0.9050949050949051,0.958054682580157,0.6510739260739261,0.8296327623425525,0.5099999999999998
LOO_AvgFlowDelay,32,AvgFlowDelay,53,0.9042207792207793,0.9568557691060189,0.6612137862137862,0.8318741722812653,0.4999999999999998
LOO_AvgFlowDelay,32,AvgFlowDelay,54,0.9055944055944056,0.9597943265525682,0.670979020979021,0.8379272962302433,0.46999999999999986
LOO_AvgFlowDelay,32,AvgFlowDelay,55,0.9075924075924076,0.9599658583175066,0.680994005994006,0.8497001150697454,0.5099999999999998
LOO_AvgFlowDelay,32,AvgFlowDelay,56,0.9038461538461539,0.9569165225384006,0.6733766233766234,0.830991134240385,0.48999999999999977
LOO_AvgFlowDelay,32,AvgFlowDelay,57,0.9059690309690309,0.957526115243398,0.7017232767232767,0.8458583412092404,0.5599999999999997
LOO_AvgFlowDelay,32,AvgFlowDelay,58,0.9074675324675324,0.9591864803528141,0.6723526473526473,0.8331867582966483,0.5299999999999998
LOO_AvgFlowDelay,32,AvgFlowDelay,59,0.9050949050949051,0.9570193168469893,0.6710539460539461,0.8443387257098546,0.5899999999999997
LOO_AvgFlowDelay,32,AvgFlowDelay,60,0.8997252747252747,0.9554607480431656,0.6716783216783216,0.823521471036456,0.5999999999999998
LOO_AvgFlowDelay,32,AvgFlowDelay,61,0.9024725274725275,0.956958002037922,0.6755494505494506,0.8355170528771927,0.5499999999999998
LOO_AvgFlowJit,32,AvgFlowJitter,42,0.9004745254745254,0.95566140902055,0.6801448551448551,0.8280651728391488,0.5699999999999997
LOO_AvgFlowJit,32,AvgFlowJitter,43,0.900974025974026,0.9566311560567304,0.660064935064935,0.8452228964841352,0.45999999999999985
LOO_AvgFlowJit,32,AvgFlowJitter,44,0.9062187812187812,0.960304368458714,0.6795454545454546,0.845123882111894,0.5299999999999998
LOO_AvgFlowJit,32,AvgFlowJitter,45,0.9064685314685315,0.9582675067190551,0.7105394605394605,0.844572761154929,0.6199999999999998
LOO_AvgFlowJit,32,AvgFlowJitter,46,0.9085914085914086,0.9589120919040999,0.670979020979021,0.8362220197385033,0.48999999999999977
LOO_AvgFlowJit,32,AvgFlowJitter,47,0.9064685314685315,0.9609709097096709,0.6487262737262737,0.8306299132934998,0.48999999999999977
LOO_AvgFlowJit,32,AvgFlowJitter,48,0.9023476523476524,0.9562629553263919,0.6525974025974026,0.8257685421471636,0.4999999999999998
LOO_AvgFlowJit,32,AvgFlowJitter,49,0.903971028971029,0.9583662466404724,0.6655094905094905,0.8318936757548147,0.5699999999999997
LOO_AvgFlowJit,32,AvgFlowJitter,50,0.9045954045954046,0.9569889401307984,0.6783716283716283,0.8358959135270325,0.5499999999999998
LOO_AvgFlowJit,32,AvgFlowJitter,51,0.9067182817182817,0.9595813152881084,0.6594655344655345,0.8337989957095852,0.5099999999999998
LOO_AvgFlowJit,32,AvgFlowJitter,52,0.9052197802197802,0.95793529647176,0.6564935064935065,0.8262628779811598,0.5199999999999998
LOO_AvgFlowJit,32,AvgFlowJitter,53,0.9025974025974026,0.9572429318932816,0.663911088911089,0.8415112422542492,0.5499999999999998
LOO_AvgFlowJit,32,AvgFlowJitter,54,0.9055944055944056,0.959452136275313,0.6923076923076923,0.845245377749124,0.5599999999999997
LOO_AvgFlowJit,32,AvgFlowJitter,55,0.9087162837162838,0.9593902600895607,0.6878871128871129,0.8512951621305767,0.47999999999999976
LOO_AvgFlowJit,32,AvgFlowJitter,56,0.903971028971029,0.956727463345845,0.6594905094905095,0.8367652627093186,0.47999999999999976
LOO_AvgFlowJit,32,AvgFlowJitter,57,0.906968031968032,0.9579667959413214,0.7518231768231768,0.8620986992527951,0.5899999999999997
LOO_AvgFlowJit,32,AvgFlowJitter,58,0.9055944055944056,0.959631028312347,0.6988511488511489,0.8595090748412428,0.46999999999999986
LOO_AvgFlowJit,32,AvgFlowJitter,59,0.90497002997003,0.9566130672524278,0.6616383616383616,0.8412139009841308,0.5399999999999998
LOO_AvgFlowJit,32,AvgFlowJitter,60,0.9027222777222778,0.9555195678447426,0.6725024975024975,0.8345312554578288,0.5199999999999998
LOO_AvgFlowJit,32,AvgFlowJitter,61,0.9035964035964036,0.9566940302454789,0.6698551448551449,0.8357425840892374,0.5099999999999998
LOO_FlowDelayStd,32,FlowDelayStd,42,0.8941058941058941,0.9520344166323186,0.6747252747252748,0.8216988244023709,0.4999999999999998
LOO_FlowDelayStd,32,FlowDelayStd,43,0.8934815184815185,0.9528783529158156,0.6885614385614386,0.8482651239869022,0.4999999999999998
LOO_FlowDelayStd,32,FlowDelayStd,44,0.8968531468531469,0.9576281610497395,0.6922327672327673,0.8481399594411583,0.5599999999999997
LOO_FlowDelayStd,32,FlowDelayStd,45,0.8996003996003996,0.9556612842701754,0.667007992007992,0.8311872430766036,0.5399999999999998
LOO_FlowDelayStd,32,FlowDelayStd,46,0.8982267732267732,0.9551235477808904,0.6565434565434566,0.8317053725495284,0.45999999999999985
LOO_FlowDelayStd,32,FlowDelayStd,47,0.8978521478521478,0.9565136412039508,0.6497002997002997,0.8214884279057606,0.44999999999999984
LOO_FlowDelayStd,32,FlowDelayStd,48,0.8937312687312687,0.9535596770861505,0.6793956043956044,0.8356996874254616,0.5399999999999998
LOO_FlowDelayStd,32,FlowDelayStd,49,0.89498001998002,0.9550156387069475,0.6619130869130869,0.8289298077047826,0.47999999999999976
LOO_FlowDelayStd,32,FlowDelayStd,50,0.8963536463536463,0.9541915377329961,0.6725274725274726,0.8300991204100594,0.5399999999999998
LOO_FlowDelayStd,32,FlowDelayStd,51,0.8983516483516484,0.9564360464710114,0.6654345654345655,0.8338512810865459,0.5299999999999998
LOO_FlowDelayStd,32,FlowDelayStd,52,0.8947302697302697,0.9542751828590991,0.6712537462537462,0.8336199839121916,0.5599999999999997
LOO_FlowDelayStd,32,FlowDelayStd,53,0.8961038961038961,0.9530511321844989,0.6653346653346653,0.831049630938492,0.5099999999999998
LOO_FlowDelayStd,32,FlowDelayStd,54,0.8976023976023976,0.9558984347321011,0.6844905094905095,0.8444639488882746,0.5299999999999998
LOO_FlowDelayStd,32,FlowDelayStd,55,0.8987262737262737,0.955583939037985,0.7007742257742258,0.8401259953832382,0.5999999999999998
LOO_FlowDelayStd,32,FlowDelayStd,56,0.896978021978022,0.9531456929683704,0.6805694305694305,0.8353901692712882,0.5199999999999998
LOO_FlowDelayStd,32,FlowDelayStd,57,0.8984765234765235,0.9538403654287769,0.7306693306693307,0.8542020442095366,0.5499999999999998
LOO_FlowDelayStd,32,FlowDelayStd,58,0.8961038961038961,0.9559478358804032,0.7062187812187812,0.8535686416480622,0.5699999999999997
LOO_FlowDelayStd,32,FlowDelayStd,59,0.8947302697302697,0.9533707426439695,0.6801698301698301,0.8387103705485324,0.6099999999999998
LOO_FlowDelayStd,32,FlowDelayStd,60,0.8937312687312687,0.9522028920130818,0.6701798201798201,0.8377979587844724,0.4999999999999998
LOO_FlowDelayStd,32,FlowDelayStd,61,0.8943556443556444,0.9532658899542016,0.6924325674325674,0.8397727572128171,0.5499999999999998
LOO_FlowJitterStd,32,FlowJitterStd,42,0.8954795204795205,0.9514517700082136,0.664035964035964,0.7810810780128962,0.5199999999999998
LOO_FlowJitterStd,32,FlowJitterStd,43,0.8986013986013986,0.954185736840582,0.6724025974025974,0.8172760655927489,0.4999999999999998
