config,scaler,seed,te_acc,te_auc,tgt_acc,tgt_auc,mobile_DJ_max_abs_scaled
Standard_33,StandardScaler,42,0.9014735264735265,0.9556942183690436,0.6748751248751249,0.8163535889684741,508.50311279296875
Standard_33,StandardScaler,43,0.9008491508491508,0.9568268270191347,0.6645854145854145,0.8443331743181892,501.7486267089844
Standard_33,StandardScaler,44,0.90497002997003,0.9608222696384534,0.6511738261738261,0.8338715430423722,496.97906494140625
Standard_33,StandardScaler,45,0.9088411588411588,0.9591901604888617,0.6667082917082917,0.842066083267382,491.95404052734375
Standard_33,StandardScaler,46,0.907967032967033,0.9592387507597298,0.6531718281718282,0.830380209201388,515.5656127929688
Standard_33,RobustScaler,42,0.9014735264735265,0.9556947797457289,0.6748751248751249,0.816349769112007,2815.033447265625
Standard_33,RobustScaler,43,0.9008491508491508,0.9568268270191347,0.6645854145854145,0.8443325929814441,2833.92626953125
Standard_33,RobustScaler,44,0.90497002997003,0.9608227686399513,0.6511738261738261,0.8338721992293421,2796.384033203125
Standard_33,RobustScaler,45,0.9088411588411588,0.9591904099896108,0.6667082917082917,0.8420657065212511,2796.390625
Standard_33,RobustScaler,46,0.907967032967033,0.9592387507597298,0.6531718281718282,0.8303799472256016,2796.384033203125
Ablation_DJ_27,StandardScaler,42,0.869005994005994,0.9377848051049849,0.7842407592407592,0.8569407440711136,
Ablation_DJ_27,StandardScaler,43,0.8748751248751249,0.9409132949967116,0.8104645354645355,0.8727019908163766,
Ablation_DJ_27,StandardScaler,44,0.8762487512487512,0.9459331876914293,0.8041208791208792,0.8663304178339144,
Ablation_DJ_27,StandardScaler,45,0.8753746253746254,0.9425304341013632,0.8078921078921079,0.8742187383046525,
Ablation_DJ_27,StandardScaler,46,0.8821178821178821,0.9447211754279685,0.7865384615384615,0.8596500402694208,
Ablation_DJ_27,RobustScaler,42,0.869005994005994,0.9377851169809212,0.7842407592407592,0.8569410534520425,
Ablation_DJ_27,RobustScaler,43,0.8748751248751249,0.9409132949967116,0.8104645354645355,0.8727011874239645,
Ablation_DJ_27,RobustScaler,44,0.8762487512487512,0.9459314411861863,0.8040959040959041,0.866332733200865,
Ablation_DJ_27,RobustScaler,45,0.8753746253746254,0.9425249450848852,0.8078921078921079,0.8742183790235738,
Ablation_DJ_27,RobustScaler,46,0.8821178821178821,0.944720988302407,0.7865384615384615,0.8596498656188966,
