K,n_features,classifier,direction,acc_mean,acc_std,auc_mean,auc_std,n_seeds,features
15,15,catboost_tuned,M_to_S,0.8472714785214785,0.00263414861741833,0.897102171180468,0.0034145843284457177,20,AverageAdvertisedLinksPerTCMessage;AverageMprCount;DataPacketRate;FlowThroughputStd;AverageHopCount;FlowJitterStd;AvgTxPacketsPerFlow;RoutingOverheadBytesRatio;FlowDelayStd;AvgRxPacketsPerFlow;AvgTxBytesPerFlow;AverageEndToEndDelay;Throughput;FlowDurationStd;AvgTxPacketSize
17,17,catboost_tuned,S_in_domain,0.9051948051948052,0.0022300098376791975,0.9579573273878965,0.0014550286540002525,20,AverageAdvertisedLinksPerTCMessage;AverageMprCount;DataPacketRate;FlowThroughputStd;AverageHopCount;FlowJitterStd;AvgTxPacketsPerFlow;RoutingOverheadBytesRatio;FlowDelayStd;AvgRxPacketsPerFlow;AvgTxBytesPerFlow;AverageEndToEndDelay;Throughput;FlowDurationStd;AvgTxPacketSize;NormalizedRoutingLoad;AvgRxPacketSize
17,17,catboost_tuned,M_in_domain,0.9099400599400598,0.0027836378551788677,0.9596707457128284,0.0020442119224426286,20,AverageAdvertisedLinksPerTCMessage;AverageMprCount;DataPacketRate;FlowThroughputStd;AverageHopCount;FlowJitterStd;AvgTxPacketsPerFlow;RoutingOverheadBytesRatio;FlowDelayStd;AvgRxPacketsPerFlow;AvgTxBytesPerFlow;AverageEndToEndDelay;Throughput;FlowDurationStd;AvgTxPacketSize;NormalizedRoutingLoad;AvgRxPacketSize
17,17,catboost_tuned,S_to_M,0.6798114385614387,0.008608736360196973,0.841228822126924,0.006377458266129687,20,AverageAdvertisedLinksPerTCMessage;AverageMprCount;DataPacketRate;FlowThroughputStd;AverageHopCount;FlowJitterStd;AvgTxPacketsPerFlow;RoutingOverheadBytesRatio;FlowDelayStd;AvgRxPacketsPerFlow;AvgTxBytesPerFlow;AverageEndToEndDelay;Throughput;FlowDurationStd;AvgTxPacketSize;NormalizedRoutingLoad;AvgRxPacketSize
17,17,catboost_tuned,M_to_S,0.8462624875124876,0.002393590919947303,0.8942713064907121,0.0028502320497338657,20,AverageAdvertisedLinksPerTCMessage;AverageMprCount;DataPacketRate;FlowThroughputStd;AverageHopCount;FlowJitterStd;AvgTxPacketsPerFlow;RoutingOverheadBytesRatio;FlowDelayStd;AvgRxPacketsPerFlow;AvgTxBytesPerFlow;AverageEndToEndDelay;Throughput;FlowDurationStd;AvgTxPacketSize;NormalizedRoutingLoad;AvgRxPacketSize
24,24,catboost_tuned,S_in_domain,0.9050699300699302,0.0023339502114885745,0.9581181618082217,0.0014982544816737162,20,AverageAdvertisedLinksPerTCMessage;AverageMprCount;DataPacketRate;FlowThroughputStd;AverageHopCount;FlowJitterStd;AvgTxPacketsPerFlow;RoutingOverheadBytesRatio;FlowDelayStd;AvgRxPacketsPerFlow;AvgTxBytesPerFlow;AverageEndToEndDelay;Throughput;FlowDurationStd;AvgTxPacketSize;NormalizedRoutingLoad;AvgRxPacketSize;AvgFlowDelay;AvgRxBytesPerFlow;RoutingOverheadRatio;AvgFlowJitter;AvgFlowThroughput;TcMessageRate;AverageJitter
24,24,catboost_tuned,M_in_domain,0.9102834665334667,0.0028903512631675496,0.9601748323479716,0.0020468712656633347,20,AverageAdvertisedLinksPerTCMessage;AverageMprCount;DataPacketRate;FlowThroughputStd;AverageHopCount;FlowJitterStd;AvgTxPacketsPerFlow;RoutingOverheadBytesRatio;FlowDelayStd;AvgRxPacketsPerFlow;AvgTxBytesPerFlow;AverageEndToEndDelay;Throughput;FlowDurationStd;AvgTxPacketSize;NormalizedRoutingLoad;AvgRxPacketSize;AvgFlowDelay;AvgRxBytesPerFlow;RoutingOverheadRatio;AvgFlowJitter;AvgFlowThroughput;TcMessageRate;AverageJitter
24,24,catboost_tuned,S_to_M,0.6828359140859142,0.013810569294497631,0.837727852442263,0.006619915494819579,20,AverageAdvertisedLinksPerTCMessage;AverageMprCount;DataPacketRate;FlowThroughputStd;AverageHopCount;FlowJitterStd;AvgTxPacketsPerFlow;RoutingOverheadBytesRatio;FlowDelayStd;AvgRxPacketsPerFlow;AvgTxBytesPerFlow;AverageEndToEndDelay;Throughput;FlowDurationStd;AvgTxPacketSize;NormalizedRoutingLoad;AvgRxPacketSize;AvgFlowDelay;AvgRxBytesPerFlow;RoutingOverheadRatio;AvgFlowJitter;AvgFlowThroughput;TcMessageRate;AverageJitter
24,24,catboost_tuned,M_to_S,0.8464847652347652,0.0026781979721397296,0.8951597538325811,0.0031792442470651343,20,AverageAdvertisedLinksPerTCMessage;AverageMprCount;DataPacketRate;FlowThroughputStd;AverageHopCount;FlowJitterStd;AvgTxPacketsPerFlow;RoutingOverheadBytesRatio;FlowDelayStd;AvgRxPacketsPerFlow;AvgTxBytesPerFlow;AverageEndToEndDelay;Throughput;FlowDurationStd;AvgTxPacketSize;NormalizedRoutingLoad;AvgRxPacketSize;AvgFlowDelay;AvgRxBytesPerFlow;RoutingOverheadRatio;AvgFlowJitter;AvgFlowThroughput;TcMessageRate;AverageJitter
33,33,catboost_tuned,S_in_domain,0.9046828171828171,0.002831433763871368,0.9580294674107112,0.0015342534736053667,20,AverageAdvertisedLinksPerTCMessage;AverageMprCount;DataPacketRate;FlowThroughputStd;AverageHopCount;FlowJitterStd;AvgTxPacketsPerFlow;RoutingOverheadBytesRatio;FlowDelayStd;AvgRxPacketsPerFlow;AvgTxBytesPerFlow;AverageEndToEndDelay;Throughput;FlowDurationStd;AvgTxPacketSize;NormalizedRoutingLoad;AvgRxPacketSize;AvgFlowDelay;AvgRxBytesPerFlow;RoutingOverheadRatio;AvgFlowJitter;AvgFlowThroughput;TcMessageRate;AverageJitter;AvgFlowDuration;FlowLossRateStd;FlowCount;AvgFlowLossRate;PacketLossRatio;PacketDeliveryRatio;RxTxPacketRatio;MidMessageRate;HnaMessageRate
33,33,catboost_tuned,M_in_domain,0.9113698801198801,0.003104842049642521,0.9617583559048345,0.002153654947218201,20,AverageAdvertisedLinksPerTCMessage;AverageMprCount;DataPacketRate;FlowThroughputStd;AverageHopCount;FlowJitterStd;AvgTxPacketsPerFlow;RoutingOverheadBytesRatio;FlowDelayStd;AvgRxPacketsPerFlow;AvgTxBytesPerFlow;AverageEndToEndDelay;Throughput;FlowDurationStd;AvgTxPacketSize;NormalizedRoutingLoad;AvgRxPacketSize;AvgFlowDelay;AvgRxBytesPerFlow;RoutingOverheadRatio;AvgFlowJitter;AvgFlowThroughput;TcMessageRate;AverageJitter;AvgFlowDuration;FlowLossRateStd;FlowCount;AvgFlowLossRate;PacketLossRatio;PacketDeliveryRatio;RxTxPacketRatio;MidMessageRate;HnaMessageRate
33,33,catboost_tuned,S_to_M,0.6718131868131868,0.017001153626057402,0.8348480347699254,0.008542605590479403,20,AverageAdvertisedLinksPerTCMessage;AverageMprCount;DataPacketRate;FlowThroughputStd;AverageHopCount;FlowJitterStd;AvgTxPacketsPerFlow;RoutingOverheadBytesRatio;FlowDelayStd;AvgRxPacketsPerFlow;AvgTxBytesPerFlow;AverageEndToEndDelay;Throughput;FlowDurationStd;AvgTxPacketSize;NormalizedRoutingLoad;AvgRxPacketSize;AvgFlowDelay;AvgRxBytesPerFlow;RoutingOverheadRatio;AvgFlowJitter;AvgFlowThroughput;TcMessageRate;AverageJitter;AvgFlowDuration;FlowLossRateStd;FlowCount;AvgFlowLossRate;PacketLossRatio;PacketDeliveryRatio;RxTxPacketRatio;MidMessageRate;HnaMessageRate
33,33,catboost_tuned,M_to_S,0.8424650349650349,0.004119784376284561,0.8935705991061885,0.003339110495277175,20,AverageAdvertisedLinksPerTCMessage;AverageMprCount;DataPacketRate;FlowThroughputStd;AverageHopCount;FlowJitterStd;AvgTxPacketsPerFlow;RoutingOverheadBytesRatio;FlowDelayStd;AvgRxPacketsPerFlow;AvgTxBytesPerFlow;AverageEndToEndDelay;Throughput;FlowDurationStd;AvgTxPacketSize;NormalizedRoutingLoad;AvgRxPacketSize;AvgFlowDelay;AvgRxBytesPerFlow;RoutingOverheadRatio;AvgFlowJitter;AvgFlowThroughput;TcMessageRate;AverageJitter;AvgFlowDuration;FlowLossRateStd;FlowCount;AvgFlowLossRate;PacketLossRatio;PacketDeliveryRatio;RxTxPacketRatio;MidMessageRate;HnaMessageRate
